City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Eydhafushi,MV,2022-02-07 00:14:42,5.1033,73.0708,80.31,70,49,6.73
254,Rocha,UY,2022-02-07 00:11:54,-34.4833,-54.3333,62.87,84,50,20.49
255,Melfort,CA,2022-02-07 00:14:43,52.8667,-104.6177,15.93,86,100,16.11
256,Port Blair,IN,2022-02-07 00:14:43,11.6667,92.75,78.03,82,18,11.88
257,Samarai,PG,2022-02-07 00:14:43,-10.6167,150.6667,85.23,66,100,9.62
258,Igarka,RU,2022-02-07 00:14:44,67.4667,86.5833,-22.14,99,51,8.25
259,Zyryanka,RU,2022-02-07 00:12:15,65.75,150.85,-34.62,98,48,4.94
260,San Quintin,MX,2022-02-07 00:14:44,30.4833,-115.95,63.95,34,0,7.0
261,Malanje,AO,2022-02-07 00:14:44,-9.5402,16.341,62.1,77,100,2.82
262,Hovd,MN,2022-02-07 00:14:45,48.0056,91.6419,-14.55,69,13,3.65
263,Neiafu,TO,2022-02-07 00:14:45,-18.65,-173.9833,74.08,88,100,11.5
264,Berbera,SO,2022-02-07 00:14:45,10.4396,45.0143,75.63,84,98,2.91
265,Nagua,DO,2022-02-07 00:14:46,19.3832,-69.8474,71.85,86,65,7.54
266,La Primavera,CO,2022-02-07 00:14:46,5.4906,-70.4092,89.2,37,91,4.45
267,Itarema,BR,2022-02-07 00:12:32,-2.9248,-39.9167,79.72,77,42,12.59
268,Nuuk,GL,2022-02-07 00:14:46,64.1835,-51.7216,9.21,56,75,13.8
269,Barceloneta,PR,2022-02-07 00:14:47,18.4505,-66.5385,74.25,99,49,12.57
270,Tenenkou,ML,2022-02-07 00:14:47,14.4572,-4.9169,71.11,11,0,9.51
271,Bouar,CF,2022-02-07 00:14:47,5.934,15.596,65.53,26,7,4.76
272,Okato,NZ,2022-02-07 00:15:48,-39.2,173.8833,70.92,76,100,7.81
273,Sorland,NO,2022-02-07 00:15:48,67.667,12.6934,36.12,62,100,9.48
274,Otaru,JP,2022-02-07 00:15:48,43.1894,141.0022,28.24,72,94,11.9
275,Kapit,MY,2022-02-07 00:15:49,2.0167,112.9333,74.25,98,100,0.51
276,Gat,IL,2022-02-07 00:10:51,31.61,34.7642,54.91,100,44,7.05
277,Antalaha,MG,2022-02-07 00:15:49,-14.9003,50.2788,75.33,88,97,3.76
278,Soddy-Daisy,US,2022-02-07 00:15:50,35.2359,-85.1908,42.64,69,0,2.35
279,Auriflama,BR,2022-02-07 00:15:50,-20.6856,-50.5547,72.86,92,86,5.66
280,Bandarbeyla,SO,2022-02-07 00:15:05,9.4942,50.8122,74.7,74,76,13.4
281,Edd,ER,2022-02-07 00:15:50,13.9297,41.6925,74.37,72,60,7.96
282,Khani,GE,2022-02-07 00:15:51,41.9563,42.9566,24.37,98,100,1.45
283,Catalina,US,2022-02-07 00:11:39,32.5056,-110.9211,67.86,13,0,1.01
284,Rudbar,AF,2022-02-07 00:15:51,30.15,62.6,51.93,31,0,8.32
285,Marsh Harbour,BS,2022-02-07 00:12:20,26.5412,-77.0636,74.08,73,76,12.35
286,Acajutla,SV,2022-02-07 00:15:52,13.5928,-89.8275,82.8,59,26,2.46
287,Husavik,IS,2022-02-07 00:15:52,66.0449,-17.3389,19.31,92,99,10.11
288,Chongwe,ZM,2022-02-07 00:15:52,-15.3292,28.682,60.57,96,80,2.37
289,Quelimane,MZ,2022-02-07 00:15:53,-17.8786,36.8883,72.59,97,93,5.88
290,Hasaki,JP,2022-02-07 00:15:53,35.7333,140.8333,37.29,40,4,11.74
